,Идентификационный номер,Выжившие,Класс пассажира,Имя,Пол,Возраст,Количество братьев/сестер,Количество родственников,Номер билета,Плата за проезд,Каюта,Порт посадки
110,111,0,1,"Porter, Mr. Walter Chamberlain",male,1975.0,0,0,110465,52.0,C110,S
111,112,0,3,"Zabour, Miss. Hileni",female,2007.5,1,0,2665,14.4542,G6,C
112,113,0,3,"Barton, Mr. David John",male,2000.0,0,0,324669,8.05,G6,S
113,114,0,3,"Jussila, Miss. Katriina",female,2002.0,1,0,4136,9.825,G6,S
114,115,0,3,"Attalah, Miss. Malake",female,2005.0,0,0,2627,14.4583,G6,C
115,116,0,3,"Pekoniemi, Mr. Edvard",male,2001.0,0,0,STON/O 2. 3101294,7.925,G6,S
116,117,0,3,"Connors, Mr. Patrick",male,1951.5,0,0,370369,7.75,G6,Q
117,118,0,2,"Turpin, Mr. William John Robert",male,1993.0,1,0,11668,21.0,G6,S
118,119,0,1,"Baxter, Mr. Quigg Edmond",male,1998.0,0,1,PC 17558,247.5208,B58 B60,C
119,120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2020.0,4,2,347082,31.275,G6,S
120,121,0,2,"Hickman, Mr. Stanley George",male,2001.0,2,0,S.O.C. 14879,73.5,G6,S
121,122,0,3,"Moore, Mr. Leonard Charles",male,1992.3008823529412,0,0,A4. 54510,8.05,G6,S
122,123,0,2,"Nasser, Mr. Nicholas",male,1989.5,1,0,237736,30.0708,G6,C
123,124,1,2,"Webber, Miss. Susan",female,1989.5,0,0,27267,13.0,E101,S
124,125,0,1,"White, Mr. Percival Wayland",male,1968.0,0,1,35281,77.2875,D26,S
125,126,1,3,"Nicola-Yarred, Master. Elias",male,2010.0,1,0,2651,11.2417,G6,C
126,127,0,3,"McMahon, Mr. Martin",male,1992.3008823529412,0,0,370372,7.75,G6,Q
127,128,1,3,"Madsen, Mr. Fridtjof Arne",male,1998.0,0,0,C 17369,7.1417,G6,S
128,129,1,3,"Peter, Miss. Anna",female,1992.3008823529412,1,1,2668,22.3583,F E69,C
129,130,0,3,"Ekstrom, Mr. Johan",male,1977.0,0,0,347061,6.975,G6,S
130,131,0,3,"Drazenoic, Mr. Jozef",male,1989.0,0,0,349241,7.8958,G6,C
131,132,0,3,"Coelho, Mr. Domingos Fernandeo",male,2002.0,0,0,SOTON/O.Q. 3101307,7.05,G6,S
132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,1975.0,1,0,A/5. 3337,14.5,G6,S
133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,1993.0,1,0,228414,26.0,G6,S
134,135,0,2,"Sobey, Mr. Samuel James Hayden",male,1997.0,0,0,C.A. 29178,13.0,G6,S
135,136,0,2,"Richard, Mr. Emile",male,1999.0,0,0,SC/PARIS 2133,15.0458,G6,C
136,137,1,1,"Newsom, Miss. Helen Monypeny",female,2003.0,0,2,11752,26.2833,D47,S
137,138,0,1,"Futrelle, Mr. Jacques Heath",male,1985.0,1,0,113803,53.1,C123,S
138,139,0,3,"Osen, Mr. Olaf Elon",male,2006.0,0,0,7534,9.2167,G6,S
139,140,0,1,"Giglio, Mr. Victor",male,1998.0,0,0,PC 17593,79.2,B86,C
140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,1992.3008823529412,0,2,2678,15.2458,G6,C
141,142,1,3,"Nysten, Miss. Anna Sofia",female,2000.0,0,0,347081,7.75,G6,S
142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,1998.0,1,0,STON/O2. 3101279,15.85,G6,S
143,144,0,3,"Burke, Mr. Jeremiah",male,2003.0,0,0,365222,6.75,G6,Q
144,145,0,2,"Andrew, Mr. Edgardo Samuel",male,2004.0,0,0,231945,11.5,G6,S
145,146,0,2,"Nicholls, Mr. Joseph Charles",male,2003.0,1,1,C.A. 33112,36.75,G6,S
146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,1995.0,0,0,350043,7.7958,G6,S
147,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,2013.0,2,2,W./C. 6608,34.375,G6,S
148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,1985.5,0,2,230080,26.0,F2,S
149,150,0,2,"Byles, Rev. Thomas Roussel Davids",male,1980.0,0,0,244310,13.0,G6,S
150,151,0,2,"Bateman, Rev. Robert James",male,1971.0,0,0,S.O.P. 1166,12.525,G6,S
151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,2000.0,1,0,113776,66.6,C2,S
152,153,0,3,"Meo, Mr. Alfonzo",male,1966.5,0,0,A.5. 11206,8.05,G6,S
153,154,0,3,"van Billiard, Mr. Austin Blyler",male,1981.5,0,2,A/5. 851,14.5,G6,S
154,155,0,3,"Olsen, Mr. Ole Martin",male,1992.3008823529412,0,0,Fa 265302,7.3125,G6,S
155,156,0,1,"Williams, Mr. Charles Duane",male,1971.0,0,1,PC 17597,61.3792,G6,C
156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,2006.0,0,0,35851,7.7333,G6,Q
157,158,0,3,"Corn, Mr. Harry",male,1992.0,0,0,SOTON/OQ 392090,8.05,G6,S
158,159,0,3,"Smiljanic, Mr. Mile",male,1992.3008823529412,0,0,315037,8.6625,G6,S
159,160,0,3,"Sage, Master. Thomas Henry",male,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
160,161,0,3,"Cribb, Mr. John Hatfield",male,1978.0,0,1,371362,16.1,G6,S
161,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,1982.0,0,0,C.A. 33595,15.75,G6,S
162,163,0,3,"Bengtsson, Mr. John Viktor",male,1996.0,0,0,347068,7.775,G6,S
163,164,0,3,"Calic, Mr. Jovo",male,2005.0,0,0,315093,8.6625,G6,S
164,165,0,3,"Panula, Master. Eino Viljami",male,2021.0,4,1,3101295,39.6875,G6,S
165,166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,2013.0,0,2,363291,20.525,G6,S
166,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,1992.3008823529412,0,1,113505,55.0,E33,S
167,168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,1977.0,1,4,347088,27.9,G6,S
168,169,0,1,"Baumann, Mr. John D",male,1992.3008823529412,0,0,PC 17318,25.925,G6,S
169,170,0,3,"Ling, Mr. Lee",male,1994.0,0,0,1601,56.4958,G6,S
170,171,0,1,"Van der hoef, Mr. Wyckoff",male,1961.0,0,0,111240,33.5,B19,S
171,172,0,3,"Rice, Master. Arthur",male,2018.0,4,1,382652,29.125,G6,Q
172,173,1,3,"Johnson, Miss. Eleanor Ileen",female,2021.0,1,1,347742,11.1333,G6,S
173,174,0,3,"Sivola, Mr. Antti Wilhelm",male,2001.0,0,0,STON/O 2. 3101280,7.925,G6,S
174,175,0,1,"Smith, Mr. James Clinch",male,1966.0,0,0,17764,30.6958,A7,C
175,176,0,3,"Klasen, Mr. Klas Albin",male,2004.0,1,1,350404,7.8542,G6,S
176,177,0,3,"Lefebre, Master. Henry Forbes",male,1992.3008823529412,3,1,4133,25.4667,G6,S
177,178,0,1,"Isham, Miss. Ann Elizabeth",female,1972.0,0,0,PC 17595,28.7125,C49,C
178,179,0,2,"Hale, Mr. Reginald",male,1992.0,0,0,250653,13.0,G6,S
179,180,0,3,"Leonard, Mr. Lionel",male,1986.0,0,0,LINE,0.0,G6,S
180,181,0,3,"Sage, Miss. Constance Gladys",female,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
181,182,0,2,"Pernot, Mr. Rene",male,1992.3008823529412,0,0,SC/PARIS 2131,15.05,G6,C
182,183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,2013.0,4,2,347077,31.3875,G6,S
183,184,1,2,"Becker, Master. Richard F",male,2021.0,2,1,230136,39.0,F4,S
184,185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,2018.0,0,2,315153,22.025,G6,S
185,186,0,1,"Rood, Mr. Hugh Roscoe",male,1992.3008823529412,0,0,113767,50.0,A32,S
186,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,1992.3008823529412,1,0,370365,15.5,G6,Q
187,188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,1977.0,0,0,111428,26.55,G6,S
188,189,0,3,"Bourke, Mr. John",male,1982.0,1,1,364849,15.5,G6,Q
189,190,0,3,"Turcin, Mr. Stjepan",male,1986.0,0,0,349247,7.8958,G6,S
190,191,1,2,"Pinsky, Mrs. (Rosa)",female,1990.0,0,0,234604,13.0,G6,S
191,192,0,2,"Carbines, Mr. William",male,2003.0,0,0,28424,13.0,G6,S
192,193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,2003.0,1,0,350046,7.8542,G6,S
193,194,1,2,"Navratil, Master. Michel M",male,2019.0,1,1,230080,26.0,F2,S
194,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,1978.0,0,0,PC 17610,27.7208,B4,C
195,196,1,1,"Lurette, Miss. Elise",female,1964.0,0,0,PC 17569,146.5208,B80,C
196,197,0,3,"Mernagh, Mr. Robert",male,1992.3008823529412,0,0,368703,7.75,G6,Q
197,198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,1980.0,0,1,4579,8.4042,G6,S
198,199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,1992.3008823529412,0,0,370370,7.75,G6,Q
199,200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,1998.0,0,0,248747,13.0,G6,S
200,201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,1994.0,0,0,345770,9.5,G6,S
201,202,0,3,"Sage, Mr. Frederick",male,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
202,203,0,3,"Johanson, Mr. Jakob Alfred",male,1988.0,0,0,3101264,6.4958,G6,S
203,204,0,3,"Youseff, Mr. Gerious",male,1976.5,0,0,2628,7.225,G6,C
204,205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,2004.0,0,0,A/5 3540,8.05,G6,S
205,206,0,3,"Strom, Miss. Telma Matilda",female,2020.0,0,1,347054,10.4625,G6,S
206,207,0,3,"Backstrom, Mr. Karl Alfred",male,1990.0,1,0,3101278,15.85,G6,S
207,208,1,3,"Albimona, Mr. Nassef Cassem",male,1996.0,0,0,2699,18.7875,G6,C
208,209,1,3,"Carr, Miss. Helen ""Ellen""",female,2006.0,0,0,367231,7.75,G6,Q
209,210,1,1,"Blank, Mr. Henry",male,1982.0,0,0,112277,31.0,A31,C
210,211,0,3,"Ali, Mr. Ahmed",male,1998.0,0,0,SOTON/O.Q. 3101311,7.05,G6,S
211,212,1,2,"Cameron, Miss. Clear Annie",female,1987.0,0,0,F.C.C. 13528,21.0,G6,S
212,213,0,3,"Perkin, Mr. John Henry",male,2000.0,0,0,A/5 21174,7.25,G6,S
213,214,0,2,"Givard, Mr. Hans Kristensen",male,1992.0,0,0,250646,13.0,G6,S
214,215,0,3,"Kiernan, Mr. Philip",male,1992.3008823529412,1,0,367229,7.75,G6,Q
215,216,1,1,"Newell, Miss. Madeleine",female,1991.0,1,0,35273,113.275,D36,C
216,217,1,3,"Honkanen, Miss. Eliina",female,1995.0,0,0,STON/O2. 3101283,7.925,G6,S
217,218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,1980.0,1,0,243847,27.0,G6,S
218,219,1,1,"Bazzani, Miss. Albina",female,1990.0,0,0,11813,76.2917,D15,C
219,220,0,2,"Harris, Mr. Walter",male,1992.0,0,0,W/C 14208,10.5,G6,S
220,221,1,3,"Sunderland, Mr. Victor Francis",male,2006.0,0,0,SOTON/OQ 392089,8.05,G6,S
221,222,0,2,"Bracken, Mr. James H",male,1995.0,0,0,220367,13.0,G6,S
222,223,0,3,"Green, Mr. George Henry",male,1971.0,0,0,21440,8.05,G6,S
223,224,0,3,"Nenkoff, Mr. Christo",male,1992.3008823529412,0,0,349234,7.8958,G6,S
224,225,1,1,"Hoyt, Mr. Frederick Maxfield",male,1984.0,1,0,19943,90.0,C93,S
225,226,0,3,"Berglund, Mr. Karl Ivar Sven",male,2000.0,0,0,PP 4348,9.35,G6,S
226,227,1,2,"Mellors, Mr. William John",male,2003.0,0,0,SW/PP 751,10.5,G6,S
227,228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,2001.5,0,0,A/5 21173,7.25,G6,S
228,229,0,2,"Fahlstrom, Mr. Arne Jonas",male,2004.0,0,0,236171,13.0,G6,S
229,230,0,3,"Lefebre, Miss. Mathilde",female,1992.3008823529412,3,1,4133,25.4667,G6,S
230,231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,1987.0,1,0,36973,83.475,C83,S
231,232,0,3,"Larsson, Mr. Bengt Edvin",male,1993.0,0,0,347067,7.775,G6,S
232,233,0,2,"Sjostedt, Mr. Ernst Adolf",male,1963.0,0,0,237442,13.5,G6,S
233,234,1,3,"Asplund, Miss. Lillian Gertrud",female,2017.0,4,2,347077,31.3875,G6,S
234,235,0,2,"Leyson, Mr. Robert William Norman",male,1998.0,0,0,C.A. 29566,10.5,G6,S
235,236,0,3,"Harknett, Miss. Alice Phoebe",female,1992.3008823529412,0,0,W./C. 6609,7.55,G6,S
236,237,0,2,"Hold, Mr. Stephen",male,1978.0,1,0,26707,26.0,G6,S
237,238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,2014.0,0,2,C.A. 31921,26.25,G6,S
238,239,0,2,"Pengelly, Mr. Frederick William",male,2003.0,0,0,28665,10.5,G6,S
239,240,0,2,"Hunt, Mr. George Henry",male,1989.0,0,0,SCO/W 1585,12.275,G6,S
240,241,0,3,"Zabour, Miss. Thamine",female,1992.3008823529412,1,0,2665,14.4542,G6,C
241,242,1,3,"Murphy, Miss. Katherine ""Kate""",female,1992.3008823529412,1,0,367230,15.5,G6,Q
242,243,0,2,"Coleridge, Mr. Reginald Charles",male,1993.0,0,0,W./C. 14263,10.5,G6,S
243,244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,2000.0,0,0,STON/O 2. 3101275,7.125,G6,S
244,245,0,3,"Attalah, Mr. Sleiman",male,1992.0,0,0,2694,7.225,G6,C
245,246,0,1,"Minahan, Dr. William Edward",male,1978.0,2,0,19928,90.0,C78,Q
246,247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,1997.0,0,0,347071,7.775,G6,S
247,248,1,2,"Hamalainen, Mrs. William (Anna)",female,1998.0,0,2,250649,14.5,G6,S
248,249,1,1,"Beckwith, Mr. Richard Leonard",male,1985.0,1,1,11751,52.5542,D35,S
249,250,0,2,"Carter, Rev. Ernest Courtenay",male,1968.0,1,0,244252,26.0,G6,S
250,251,0,3,"Reed, Mr. James George",male,1992.3008823529412,0,0,362316,7.25,G6,S
251,252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,1993.0,1,1,347054,10.4625,G6,S
252,253,0,1,"Stead, Mr. William Thomas",male,1960.0,0,0,113514,26.55,C87,S
253,254,0,3,"Lobb, Mr. William Arthur",male,1992.0,1,0,A/5. 3336,16.1,G6,S
254,255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,1981.0,0,2,370129,20.2125,G6,S
255,256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,1993.0,0,2,2650,15.2458,G6,C
256,257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,1992.3008823529412,0,0,PC 17585,79.2,G6,C
257,258,1,1,"Cherry, Miss. Gladys",female,1992.0,0,0,110152,86.5,B77,S
258,259,1,1,"Ward, Miss. Anna",female,1987.0,0,0,PC 17755,512.3292,G6,C
259,260,1,2,"Parrish, Mrs. (Lutie Davis)",female,1972.0,0,1,230433,26.0,G6,S
260,261,0,3,"Smith, Mr. Thomas",male,1992.3008823529412,0,0,384461,7.75,G6,Q
261,262,1,3,"Asplund, Master. Edvin Rojj Felix",male,2019.0,4,2,347077,31.3875,G6,S
