–Т—Л–ґ–Є–ї;P–Ї–ї–∞—Б—Б;–°–µ–Ї—Б;–Т–Њ–Ј—А–∞—Б—В;–°–Є–±—Б–њ;–Я–∞—А—З;–Я—А–Њ–µ–Ј–і–љ–Њ–є –±–Є–ї–µ—В;–Ґ—А–∞–љ—Б–њ–Њ—А—В–љ—Л–µ —А–∞—Б—Е–Њ–і—Л;–Ъ–∞–±–Є–љ–∞;–Ю—В–њ—А–∞–≤–Є–ї—Б—П
0;1;male;1998.0;0;0;PC 17593;79.2;B86;C
0;3;female;1992.3008823529408;0;2;2678;15.2458;B96 B98;C
1;3;female;2000.0;0;0;347081;1975-07-01 00:00:00;B96 B98;S
1;3;female;1998.0;1;0;STON/O2. 3101279;15.85;B96 B98;S
0;3;male;2003.0;0;0;365222;1975-06-01 00:00:00;B96 B98;Q
0;2;male;2004.0;0;0;231945;2022-05-11 00:00:00;B96 B98;S
0;2;male;2003.0;1;1;C.A. 33112;36.75;B96 B98;S
1;3;male;1995.0;0;0;350043;7958-07-01 00:00:00;B96 B98;S
0;3;female;2013.0;2;2;W./C. 6608;34.375;B96 B98;S
0;2;male;1985.5;0;2;230080;26.0;F2;S
0;2;male;1980.0;0;0;244310;13.0;B96 B98;S
0;2;male;1971.0;0;0;S.O.P. 1166;12.525;B96 B98;S
1;1;female;2000.0;1;0;113776;66.6;C2;S
0;3;male;1966.5;0;0;A.5. 11206;2022-05-08 00:00:00;B96 B98;S
0;3;male;1981.5;0;2;A/5. 851;2022-05-14 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;Fa 265302;3125-07-01 00:00:00;B96 B98;S
0;1;male;1971.0;0;1;PC 17597;61.3792;B96 B98;C
1;3;female;2006.0;0;0;35851;7333-07-01 00:00:00;B96 B98;Q
0;3;male;1992.0;0;0;SOTON/OQ 392090;2022-05-08 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;315037;6625-08-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
0;3;male;1978.0;0;1;371362;2022-01-16 00:00:00;B96 B98;S
1;2;female;1982.0;0;0;C.A. 33595;15.75;B96 B98;S
0;3;male;1996.0;0;0;347068;7.775;B96 B98;S
0;3;male;2005.0;0;0;315093;6625-08-01 00:00:00;B96 B98;S
0;3;male;2021.0;4;1;3101295;39.6875;B96 B98;S
1;3;male;2013.0;0;2;363291;20.525;B96 B98;S
1;1;female;1992.3008823529408;0;1;113505;55.0;E33;S
0;3;female;1977.0;1;4;347088;2022-09-27 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;PC 17318;25.925;B96 B98;S
0;3;male;1994.0;0;0;1601;56.4958;B96 B98;S
0;1;male;1961.0;0;0;111240;33.5;B19;S
0;3;male;2018.0;4;1;382652;29.125;B96 B98;Q
1;3;female;2021.0;1;1;347742;11.1333;B96 B98;S
0;3;male;2001.0;0;0;STON/O 2. 3101280;7.925;B96 B98;S
0;1;male;1966.0;0;0;17764;30.6958;A7;C
0;3;male;2004.0;1;1;350404;8542-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;3;1;4133;25.4667;B96 B98;S
0;1;female;1972.0;0;0;PC 17595;28.7125;C49;C
0;2;male;1992.0;0;0;250653;13.0;B96 B98;S
0;3;male;1986.0;0;0;LINE;0.0;B96 B98;S
0;3;female;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
0;2;male;1992.3008823529408;0;0;SC/PARIS 2131;2022-05-15 00:00:00;B96 B98;C
0;3;male;2013.0;4;2;347077;31.3875;B96 B98;S
1;2;male;2021.0;2;1;230136;39.0;F4;S
1;3;female;2018.0;0;2;315153;22.025;B96 B98;S
0;1;male;1992.3008823529408;0;0;113767;50.0;A32;S
1;3;female;1992.3008823529408;1;0;370365;2022-05-15 00:00:00;B96 B98;Q
1;1;male;1977.0;0;0;111428;26.55;B96 B98;S
0;3;male;1982.0;1;1;364849;2022-05-15 00:00:00;B96 B98;Q
0;3;male;1986.0;0;0;349247;8958-07-01 00:00:00;B96 B98;S
1;2;female;1990.0;0;0;234604;13.0;B96 B98;S
0;2;male;2003.0;0;0;28424;13.0;B96 B98;S
1;3;female;2003.0;1;0;350046;8542-07-01 00:00:00;B96 B98;S
1;2;male;2019.0;1;1;230080;26.0;F2;S
1;1;female;1978.0;0;0;PC 17610;27.7208;B4;C
1;1;female;1964.0;0;0;PC 17569;146.5208;B80;C
0;3;male;1992.3008823529408;0;0;368703;1975-07-01 00:00:00;B96 B98;Q
0;3;male;1980.0;0;1;4579;4042-08-01 00:00:00;B96 B98;S
1;3;female;1992.3008823529408;0;0;370370;1975-07-01 00:00:00;B96 B98;Q
0;2;female;1998.0;0;0;248747;13.0;B96 B98;S
0;3;male;1994.0;0;0;345770;2022-05-09 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
0;3;male;1988.0;0;0;3101264;4958-06-01 00:00:00;B96 B98;S
0;3;male;1976.5;0;0;2628;7.225;B96 B98;C
1;3;male;2004.0;0;0;A/5 3540;2022-05-08 00:00:00;B96 B98;S
0;3;female;2020.0;0;1;347054;4625-10-01 00:00:00;G6;S
0;3;male;1990.0;1;0;3101278;15.85;B96 B98;S
1;3;male;1996.0;0;0;2699;18.7875;B96 B98;C
1;3;female;2006.0;0;0;367231;1975-07-01 00:00:00;B96 B98;Q
1;1;male;1982.0;0;0;112277;31.0;A31;C
0;3;male;1998.0;0;0;SOTON/O.Q. 3101311;2022-05-07 00:00:00;B96 B98;S
1;2;female;1987.0;0;0;F.C.C. 13528;21.0;B96 B98;S
0;3;male;2000.0;0;0;A/5 21174;2025-07-01 00:00:00;B96 B98;S
0;2;male;1992.0;0;0;250646;13.0;B96 B98;S
0;3;male;1992.3008823529408;1;0;367229;1975-07-01 00:00:00;B96 B98;Q
1;1;female;1991.0;1;0;35273;113.275;D36;C
1;3;female;1995.0;0;0;STON/O2. 3101283;7.925;B96 B98;S
0;2;male;1980.0;1;0;243847;27.0;B96 B98;S
1;1;female;1990.0;0;0;11813;76.2917;D15;C
0;2;male;1992.0;0;0;W/C 14208;2022-05-10 00:00:00;B96 B98;S
1;3;male;2006.0;0;0;SOTON/OQ 392089;2022-05-08 00:00:00;B96 B98;S
0;2;male;1995.0;0;0;220367;13.0;B96 B98;S
0;3;male;1971.0;0;0;21440;2022-05-08 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;349234;8958-07-01 00:00:00;B96 B98;S
1;1;male;1984.0;1;0;19943;90.0;C93;S
0;3;male;2000.0;0;0;PP 4348;1935-09-01 00:00:00;B96 B98;S
1;2;male;2003.0;0;0;SW/PP 751;2022-05-10 00:00:00;B96 B98;S
0;3;male;2001.5;0;0;A/5 21173;2025-07-01 00:00:00;B96 B98;S
0;2;male;2004.0;0;0;236171;13.0;B96 B98;S
0;3;female;1992.3008823529408;3;1;4133;25.4667;B96 B98;S
1;1;female;1987.0;1;0;36973;83.475;C83;S
0;3;male;1993.0;0;0;347067;7.775;B96 B98;S
0;2;male;1963.0;0;0;237442;2022-05-13 00:00:00;B96 B98;S
1;3;female;2017.0;4;2;347077;31.3875;B96 B98;S
0;2;male;1998.0;0;0;C.A. 29566;2022-05-10 00:00:00;B96 B98;S
0;3;female;1992.3008823529408;0;0;W./C. 6609;1955-07-01 00:00:00;B96 B98;S
0;2;male;1978.0;1;0;26707;26.0;B96 B98;S
1;2;female;2014.0;0;2;C.A. 31921;26.25;B96 B98;S
0;2;male;2003.0;0;0;28665;2022-05-10 00:00:00;B96 B98;S
0;2;male;1989.0;0;0;SCO/W 1585;12.275;B96 B98;S
0;3;female;1992.3008823529408;1;0;2665;14.4542;B96 B98;C
1;3;female;1992.3008823529408;1;0;367230;2022-05-15 00:00:00;B96 B98;Q
0;2;male;1993.0;0;0;W./C. 14263;2022-05-10 00:00:00;B96 B98;S
0;3;male;2000.0;0;0;STON/O 2. 3101275;7.125;B96 B98;S
0;3;male;1992.0;0;0;2694;7.225;B96 B98;C
0;1;male;1978.0;2;0;19928;90.0;C78;Q
0;3;female;1997.0;0;0;347071;7.775;B96 B98;S
1;2;female;1998.0;0;2;250649;2022-05-14 00:00:00;B96 B98;S
1;1;male;1985.0;1;1;11751;52.5542;D35;S
0;2;male;1968.0;1;0;244252;26.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;362316;2025-07-01 00:00:00;B96 B98;S
0;3;female;1993.0;1;1;347054;4625-10-01 00:00:00;G6;S
0;1;male;1960.0;0;0;113514;26.55;C87;S
0;3;male;1992.0;1;0;A/5. 3336;2022-01-16 00:00:00;B96 B98;S
0;3;female;1981.0;0;2;370129;20.2125;B96 B98;S
1;3;female;1993.0;0;2;2650;15.2458;B96 B98;C
1;1;female;1992.3008823529408;0;0;PC 17585;79.2;B96 B98;C
1;1;female;1992.0;0;0;110152;86.5;B77;S
1;1;female;1987.0;0;0;PC 17755;512.3292;B96 B98;C
1;2;female;1972.0;0;1;230433;26.0;B96 B98;S
0;3;male;1992.3008823529408;0;0;384461;1975-07-01 00:00:00;B96 B98;Q
1;3;male;2019.0;4;2;347077;31.3875;B96 B98;S
0;1;male;1970.0;1;1;110413;79.65;E67;S
0;1;male;1982.0;0;0;112059;0.0;B94;S
0;3;female;1992.3008823529408;0;0;382649;1975-07-01 00:00:00;B96 B98;Q
0;2;male;1986.0;0;0;C.A. 17248;2022-05-10 00:00:00;B96 B98;S
0;3;male;2006.0;4;1;3101295;39.6875;B96 B98;S
1;3;male;1997.0;1;0;347083;7.775;B96 B98;S
1;1;female;1964.0;0;1;PC 17582;153.4625;C125;S
1;1;female;1987.0;0;0;PC 17760;135.6333;C99;S
0;1;male;1992.3008823529408;0;0;113798;31.0;B96 B98;S
1;3;male;1997.0;0;0;LINE;0.0;B96 B98;S
1;2;female;1981.0;0;1;250644;2022-05-19 00:00:00;B96 B98;S
0;1;male;1985.0;0;1;PC 17596;2022-07-29 00:00:00;C118;C
1;3;female;1992.3008823529408;0;0;370375;1975-07-01 00:00:00;B96 B98;Q
1;1;female;1959.0;1;0;13502;77.9583;D7;S
0;3;female;1977.0;0;0;347073;1975-07-01 00:00:00;B96 B98;S
0;2;male;1992.3008823529408;0;0;239853;0.0;B96 B98;S
0;3;male;2015.0;4;1;382652;29.125;B96 B98;Q
1;3;female;1987.0;1;1;C.A. 2673;20.25;B96 B98;S
0;3;male;1957.0;0;0;336439;1975-07-01 00:00:00;B96 B98;Q
0;3;male;1994.0;0;0;347464;8542-07-01 00:00:00;B96 B98;S
0;3;male;2006.0;0;0;345778;2022-05-09 00:00:00;B96 B98;S
1;3;male;2003.0;0;0;A/5. 10482;2022-05-08 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;113056;26.0;A19;S
0;3;male;1989.0;0;0;349239;6625-08-01 00:00:00;B96 B98;C
1;3;male;1992.0;0;0;345774;2022-05-09 00:00:00;B96 B98;S
0;3;male;2000.0;0;0;349206;8958-07-01 00:00:00;B96 B98;S
1;2;male;1980.0;0;0;237798;13.0;B96 B98;S
1;3;female;2000.0;0;0;370373;1975-07-01 00:00:00;B96 B98;Q
1;1;female;1996.0;0;0;19877;78.85;B96 B98;S
1;1;female;2003.0;1;0;11967;91.0792;B49;C
0;2;male;1986.0;0;0;SC/Paris 2163;12.875;D;C
0;3;female;1998.0;0;0;349236;1985-08-01 00:00:00;B96 B98;S
0;3;male;1998.0;0;0;349233;8958-07-01 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;PC 17612;27.7208;B96 B98;C
0;3;male;1998.5;0;0;2693;2292-07-01 00:00:00;B96 B98;C
0;1;female;2020.0;1;2;113781;151.55;C22 C26;S
1;1;male;1992.3008823529408;0;0;19988;2022-05-30 00:00:00;C106;S
1;1;female;1972.0;0;1;PC 17558;247.5208;B58 B60;C
1;3;female;1992.3008823529408;0;0;9234;1975-07-01 00:00:00;B96 B98;Q
1;3;male;1992.3008823529408;2;0;367226;23.25;B96 B98;Q
0;3;male;2003.0;0;0;LINE;0.0;B96 B98;S
1;2;female;1992.3008823529408;0;0;226593;1935-12-01 00:00:00;E101;Q
0;3;male;1992.3008823529408;0;0;A/5 2466;2022-05-08 00:00:00;B96 B98;S
1;1;male;2021.08;1;2;113781;151.55;C22 C26;S
1;1;female;1992.3008823529408;0;0;17421;110.8833;B96 B98;C
1;1;female;2005.0;1;0;PC 17758;108.9;C65;C
0;2;male;1992.0;1;0;P/PP 3381;24.0;B96 B98;C
1;1;female;1992.0;0;0;PC 17485;56.9292;E36;C
1;1;female;1998.0;0;0;11767;83.1583;C54;C
1;1;female;2004.0;2;2;PC 17608;262.375;B57 B59 B63 B66;C
0;2;female;1996.0;1;1;250651;26.0;B96 B98;S
0;3;male;1994.0;0;0;349243;8958-07-01 00:00:00;B96 B98;S
0;2;male;1979.0;1;1;F.C.C. 13529;26.25;B96 B98;S
1;3;female;1996.0;0;0;347470;8542-07-01 00:00:00;B96 B98;S
1;2;female;1998.0;1;0;244367;26.0;B96 B98;S
0;2;male;1968.0;0;0;29011;14.0;B96 B98;S
1;1;female;1991.0;0;2;36928;164.8667;C7;S
1;1;female;1982.0;1;1;16966;134.5;E34;C
0;3;male;2000.0;0;0;A/5 21172;2025-07-01 00:00:00;B96 B98;S
0;3;male;1995.0;0;0;349219;8958-07-01 00:00:00;B96 B98;S
1;2;female;1992.0;0;0;234818;1935-12-01 00:00:00;B96 B98;Q
1;2;female;2000.0;1;1;248738;29.0;B96 B98;S
0;3;male;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
1;1;female;1986.0;0;0;PC 17760;135.6333;C32;C
0;3;male;1961.0;0;0;345364;2375-06-01 00:00:00;B96 B98;S
1;2;female;1986.0;0;0;28551;13.0;D;S
1;3;female;1991.0;1;1;363291;20.525;B96 B98;S
1;1;female;2006.0;0;1;111361;57.9792;B18;C
1;3;female;1992.3008823529408;2;0;367226;23.25;B96 B98;Q
0;1;male;1976.5;0;0;113043;2022-05-28 00:00:00;C124;S
0;1;male;1984.0;0;1;PC 17582;153.4625;C91;S
0;3;male;2006.0;2;0;345764;18.0;B96 B98;S
1;1;female;1992.3008823529408;1;0;PC 17611;133.65;B96 B98;S
0;3;male;1992.3008823529408;0;0;349225;8958-07-01 00:00:00;B96 B98;S
0;1;male;1993.0;1;0;113776;66.6;C2;S
1;1;female;1981.0;0;0;16966;134.5;E40;C
1;3;male;1977.0;0;0;7598;2022-05-08 00:00:00;B96 B98;S
0;1;male;1977.0;0;0;113784;35.5;T;S
1;2;male;2020.0;1;1;230080;26.0;F2;S
1;1;female;1998.0;3;2;19950;263.0;C23 C25 C27;S
0;2;male;1994.0;0;0;248740;13.0;B96 B98;S
0;2;male;1997.0;0;0;244361;13.0;B96 B98;S
0;2;male;1986.0;0;0;229236;13.0;B96 B98;S
1;2;female;1998.0;0;0;248733;13.0;F33;S
1;2;female;1982.0;0;0;31418;13.0;B96 B98;S
1;3;female;1992.3008823529408;1;0;386525;2022-01-16 00:00:00;B96 B98;S
1;3;male;2019.0;1;1;C.A. 37671;2022-09-15 00:00:00;B96 B98;S
0;3;male;1980.0;0;0;315088;6625-08-01 00:00:00;B96 B98;S
0;3;male;1999.0;0;0;7267;9.225;B96 B98;S
0;1;male;1992.3008823529408;0;0;113510;35.0;C128;S
0;3;male;2007.0;1;1;2695;2292-07-01 00:00:00;B96 B98;C
0;3;male;1997.0;1;0;349237;2022-08-17 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;2647;7.225;B96 B98;C
0;3;male;1994.0;0;0;345783;2022-05-09 00:00:00;B96 B98;S
1;1;female;2000.0;0;1;113505;55.0;E33;S
0;2;female;1984.0;0;0;237671;13.0;B96 B98;S
1;3;female;1992.3008823529408;0;0;330931;8792-07-01 00:00:00;B96 B98;Q
1;3;female;1992.3008823529408;0;0;330980;8792-07-01 00:00:00;B96 B98;Q
0;3;male;1982.0;1;4;347088;2022-09-27 00:00:00;B96 B98;S
0;2;male;1993.0;1;0;SC/PARIS 2167;27.7208;B96 B98;C
0;3;female;1977.0;0;1;2691;14.4542;B96 B98;C
0;3;male;1987.0;0;0;SOTON/O.Q. 3101310;2022-05-07 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;1;0;370365;2022-05-15 00:00:00;B96 B98;Q
0;3;male;1992.0;0;0;C 7076;2025-07-01 00:00:00;B96 B98;S
1;1;female;1962.0;1;0;110813;75.25;D37;C
1;3;female;1992.3008823529408;0;0;2626;2292-07-01 00:00:00;B96 B98;C
1;3;female;1992.3008823529408;0;0;14313;1975-07-01 00:00:00;B96 B98;Q
1;1;female;1998.0;0;0;PC 17477;69.3;B35;C
1;1;male;1997.0;1;0;11765;55.4417;E50;C
0;3;male;2004.0;1;0;3101267;4958-06-01 00:00:00;B96 B98;S
0;3;male;2003.0;0;0;323951;2022-05-08 00:00:00;B96 B98;S
0;1;male;2000.0;0;0;PC 17760;135.6333;B96 B98;C
0;3;female;2019.0;3;1;349909;21.075;B96 B98;S
1;1;female;1992.3008823529408;1;0;PC 17604;82.1708;B96 B98;C
1;3;female;2000.0;0;0;C 7077;2025-07-01 00:00:00;B96 B98;S
0;1;male;1995.0;0;2;113503;211.5;C82;C
0;3;male;2002.0;0;0;2648;4.0125;B96 B98;C
0;3;male;2003.0;0;0;347069;7.775;B96 B98;S
1;1;female;1980.0;0;0;PC 17757;227.525;B96 B98;C
